@relation usef

@attribute author {Stoker, Hawthorne, Twain, Doyle, Dickens, Austen, Shelley, Melville}
@attribute ufreq_colloquialism_n_01 numeric
@attribute ufreq_intensifier_n_01 numeric
@attribute ufreq_slang_n_02 numeric
@attribute ufreq_plural_n_01 numeric
@attribute ufreq_archaism_n_01 numeric
@attribute ufreq_combining_form_n_01 numeric
@attribute ufreq_comparative_n_01 numeric
@attribute ufreq_disparagement_n_01 numeric
@attribute ufreq_ethnic_slur_n_01 numeric
@attribute ufreq_irony_n_03 numeric


@data
Austen,0.4,0.15,0.1,0.1,0,0.05,0.1,0,0,0
Austen,0.3333333333333333,0.16666666666666666,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0,0,0,0
Austen,0.4523809523809524,0.27380952380952384,0,0.023809523809523808,0,0.10714285714285714,0.07142857142857142,0,0,0.07142857142857142
Austen,0.59375,0.08333333333333333,0.0625,0,0.0625,0.0625,0.03125,0,0,0.0625
Austen,0.5263157894736842,0.22807017543859653,0.05263157894736842,0.10526315789473684,0.05263157894736842,0,0,0,0,0
Austen,0.4444444444444444,0.1111111111111111,0,0.1111111111111111,0.2222222222222222,0,0,0,0,0
Austen,0.5,0.3,0,0.1,0,0.1,0,0,0,0
Austen,0.5,0.5,0,0,0,0,0,0,0,0
Austen,0.6666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0,0,0.08333333333333333,0,0,0
Austen,0.5714285714285714,0.17142857142857143,0,0.14285714285714285,0,0.028571428571428574,0.08571428571428573,0,0,0
Austen,0.6296296296296297,0.10185185185185187,0,0.07407407407407408,0.055555555555555566,0.027777777777777783,0,0,0,0.055555555555555566
Austen,0.6875,0.125,0.0625,0,0,0.0625,0.0625,0,0,0
Austen,0.4166666666666667,0.08333333333333333,0.08333333333333333,0.16666666666666666,0,0.08333333333333333,0,0,0,0.16666666666666666
Austen,0.5714285714285714,0.19047619047619047,0,0,0,0,0.14285714285714285,0,0,0
Austen,0.6666666666666666,0,0,0,0.16666666666666666,0,0.16666666666666666,0,0,0
Austen,0.5,0.21794871794871792,0.11538461538461539,0.07692307692307693,0,0.038461538461538464,0,0,0,0
Austen,0.35,0.03333333333333333,0.05,0.3,0,0.1,0,0,0,0
Austen,0.6666666666666666,0.3333333333333333,0,0,0,0,0,0,0,0
Austen,0.6764705882352942,0.11764705882352941,0,0,0,0.08823529411764706,0.029411764705882353,0,0,0.058823529411764705
Austen,0.3181818181818182,0.4469696969696969,0.045454545454545456,0,0.045454545454545456,0.11363636363636363,0,0,0,0
Austen,0.5916666666666667,0.2666666666666667,0,0.11666666666666665,0,0.025,0,0,0,0
Austen,0.6428571428571429,0.047619047619047616,0.14285714285714285,0.09523809523809523,0,0.023809523809523808,0.047619047619047616,0,0,0
Austen,0.6666666666666666,0.16666666666666666,0,0.08333333333333333,0,0.08333333333333333,0,0,0,0
Austen,0.3888888888888889,0.3055555555555556,0.027777777777777776,0.16666666666666666,0,0.05555555555555555,0.05555555555555555,0,0,0
Austen,0.5,0.12,0.14,0.08,0,0.04,0.04,0,0,0
Austen,0.5357142857142857,0.21428571428571427,0,0,0.14285714285714285,0.03571428571428571,0,0,0,0
